id,quarter,months,partial,qtd_return,as_of
iCRDMBS,2016Q2,3,0,0.027792,2026-07
iCRDMBS,2016Q3,3,0,0.047094,2026-07
iCRDMBS,2016Q4,3,0,0.024597,2026-07
iCRDMBS,2017Q1,3,0,0.031915,2026-07
iCRDMBS,2017Q2,3,0,0.023578,2026-07
iCRDMBS,2017Q3,3,0,0.022667,2026-07
iCRDMBS,2017Q4,3,0,0.022664,2026-07
iCRDMBS,2018Q1,3,0,0.022245,2026-07
iCRDMBS,2018Q2,3,0,0.016186,2026-07
iCRDMBS,2018Q3,3,0,0.012449,2026-07
iCRDMBS,2018Q4,3,0,-0.006253,2026-07
iCRDMBS,2019Q1,3,0,0.015983,2026-07
iCRDMBS,2019Q2,3,0,0.01535,2026-07
iCRDMBS,2019Q3,3,0,0.002297,2026-07
iCRDMBS,2019Q4,3,0,0.004759,2026-07
iCRDMBS,2020Q1,3,0,-0.177345,2026-07
iCRDMBS,2020Q2,3,0,0.101578,2026-07
iCRDMBS,2020Q3,3,0,0.044235,2026-07
iCRDMBS,2020Q4,3,0,0.058098,2026-07
iCRDMBS,2021Q1,3,0,0.045439,2026-07
iCRDMBS,2021Q2,3,0,0.027514,2026-07
iCRDMBS,2021Q3,3,0,0.01983,2026-07
iCRDMBS,2021Q4,3,0,0.015638,2026-07
iCRDMBS,2022Q1,3,0,0.003355,2026-07
iCRDMBS,2022Q2,3,0,-0.023035,2026-07
iCRDMBS,2022Q3,3,0,-8e-05,2026-07
