date,id,mtd
201905,iEQDGLSFUN,-0.0115
201906,iEQDGLSFUN,0.0146
201907,iEQDGLSFUN,0.0073
201908,iEQDGLSFUN,-0.003
201909,iEQDGLSFUN,-0.012
201910,iEQDGLSFUN,0.0142
201911,iEQDGLSFUN,0.0187
201912,iEQDGLSFUN,0.0254
202001,iEQDGLSFUN,-0.0066
202002,iEQDGLSFUN,-0.0318
202003,iEQDGLSFUN,-0.0891
202004,iEQDGLSFUN,0.0628
202005,iEQDGLSFUN,0.0325
202006,iEQDGLSFUN,0.0236
202007,iEQDGLSFUN,0.0357
202008,iEQDGLSFUN,0.0311
202009,iEQDGLSFUN,-0.0161
202010,iEQDGLSFUN,-0.0043
202011,iEQDGLSFUN,0.0717
202012,iEQDGLSFUN,0.0496
202101,iEQDGLSFUN,-0.017
202102,iEQDGLSFUN,0.0448
202103,iEQDGLSFUN,-0.0014
202104,iEQDGLSFUN,0.0297
202105,iEQDGLSFUN,0.0106
202106,iEQDGLSFUN,0.0025
202107,iEQDGLSFUN,-0.0042
202108,iEQDGLSFUN,0.0058
202109,iEQDGLSFUN,-0.0125
202110,iEQDGLSFUN,0.0092
202111,iEQDGLSFUN,-0.0411
202112,iEQDGLSFUN,0.0234
202201,iEQDGLSFUN,-0.0235
202202,iEQDGLSFUN,-0.0161
202203,iEQDGLSFUN,0.0063
202204,iEQDGLSFUN,-0.0242
202205,iEQDGLSFUN,-0.0008
202206,iEQDGLSFUN,-0.0445
202207,iEQDGLSFUN,0.0242
202208,iEQDGLSFUN,-0.0012
202209,iEQDGLSFUN,-0.0453
202210,iEQDGLSFUN,0.0199
202211,iEQDGLSFUN,0.0248
202212,iEQDGLSFUN,-0.0027
202301,iEQDGLSFUN,0.0253
202302,iEQDGLSFUN,-0.0146
202303,iEQDGLSFUN,0.0083
202304,iEQDGLSFUN,0.0062
202305,iEQDGLSFUN,0.0044
202306,iEQDGLSFUN,0.0223
202307,iEQDGLSFUN,0.0246
202308,iEQDGLSFUN,-0.0014
202309,iEQDGLSFUN,-0.0151
202310,iEQDGLSFUN,-0.0104
202311,iEQDGLSFUN,0.035
202312,iEQDGLSFUN,0.0263
202401,iEQDGLSFUN,0.0086
202402,iEQDGLSFUN,0.0332
202403,iEQDGLSFUN,0.0274
